reslhlabinc0,reslhlabinc1,reslhlabinc2,reslhlabinc3,reslhlabinc4,reslhlabinc5,reslhlabinc6,reslhlabinc7,reslhlabinc8,reslhlabinc9,reslhlabinc10,reslhlabinc11,reslhlabinc12,reslhlabinc13,reslhlabinc14,reslhlabinc15,reslhlabinc16,reslhlabinc17,reslhlabinc18,reslhlabinc19,reslhlabinc20,reslhlabinc21,reslhlabinc22,reslhlabinc23,reslhlabinc24,reslhlabinc25,reslhlabinc26,reslhlabinc27,reslhlabinc28,reslhlabinc29,reslhlabinc30,reslhlabinc31,reslhlabinc32,reslhlabinc33,reslhlabinc34,reslhlabinc35
-.13143425,-.1834663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.61029631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.93351519,,.46738723,,-.65089124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.34706378,,-.18477777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.17729491,,-.40567943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-.33121952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.4180806,.41600972,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.22161607,-.21573941,-.11262531,-.011174893
1.4942971,,1.0616705,1.203168,1.2621357,.70840514,.97053188,.25909364,.86574554,-.31419268,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.73509628,,,,,,,,,-1.6346855,,-.86538315,,-1.1090351,,,,,,,,,,,,,,,,,,,,,
,-.0053907842,-.11972182,-.11216768,-.4375903,-.41562456,-.33857709,,-.34002855,,.014577251,,.04169089,,,,,,,,,,,,,,,,,,,,,,,
.92389798,.52640587,.27629161,.29901785,-.051361501,-.30999288,-.11991057,.053539321,.11493716,-.51641792,-.12580693,-.00018441735,.022074172,-.12115536,.15540305,-.76063162,.25038058,.33592635,-.35761866,.18237095,.14291972,,-.80448657,-.62518817,,,,,,-.38766587,,-.49042621,,,,
-.12594533,,.76463366,,.70562744,,.82363355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.17887954,-.14651796,,,,-.17863333,-.23026638,-.15203187,.10093641,-.46831596,-.29629982,,-.3311626,,-.34349686,,-.33943644,,,,,,,,,,,,,,,,,,,
,,,,,.023187434,.37624079,.40336463,.37332419,,.2138955,,.32380548,,.27157402,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.28326005,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.48149633,.4530493,.70426047,.85851103
,.029376702,,.29495573,,.46964979,,,,.46552682,.33166677,.22065616,.2586799,.24586911,.12844989,.18498589,.31603909,.44523188,-.0080619436,-.23424551,,.20569508,,-.20701584,,-.23030837,,,,,,,,,,
,,,,,,,,,,,,,,.50469166,.47586712,.49393612,.56444174,.4966388,.2974951,.37377355,.34637842,-.64318866,.11354878,-.033254303,-.13987842,.07368917,.081280015,-.17995256,.6025151,.077222444,,.095703244,.17698577,.13858834,.69708502
-.4417592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.3246057,,,,-.35752398,-.62824029,-.94444686,,-.55980533,-.4896853,-.34507409,-.23204701,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,.73470247,.74621749,.35334766,-.28820124,.53070325,.513987,.95813191,.82630742,.76065451,.83763909,.60862482,.59731084,.92290288,.99099761,.99105358,1.0776908,1.4860907,1.1693569,1.0064219,1.1408615,,1.096277,,1.1114212,,1.3739237,,,,,
,,,,,,,,,-.80970711,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.92394865,-.76319534,-1.0699757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.77716583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.3069655,-.38535923,.54102075,-.88600987,.72492057,-.73803461,-.5164091,.37741119,.39322308,.11109982,,,,.6670723,,.70825577,,,,,,,,,,
,,,,,,,,,,,,,,,-4.7872777,,-4.7266779,,,,-3.3817968,-3.4066801,-3.4603429,-3.5567226,-2.9126253,,-2.4688618,-2.2523479,-4.9455514,-3.4185102,-2.338454,-2.4212496,-5.1482911,,-4.7109375
-1.9653932,-.76495218,-1.3704317,-.74938333,-1.3471165,-1.147011,-1.5227731,-1.0055413,-1.0445293,-1.3018429,-1.8828218,-1.3286229,-1.2871886,-1.1480945,-1.323347,-1.2228097,-1.1330353,-1.3016688,-1.4728172,-3.028496,-3.5264294,,-1.6019998,,-1.7051045,,,,,,,,,,,
,,,,,,-.50800091,-.3373256,-.17684039,-.16567653,,,,,,,,,,,,,,,,,,,,,,,,,,
.69354755,.61665624,,.66606426,.63979167,.63174188,.74737132,.86703306,.76495016,,.69681001,,.55536103,,.52008206,,,,,,,,,,,,,,,,,,,,,
-.26566401,-.67625922,-.75568485,-.77956557,-1.7004217,-1.2049088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
