a
24830.961
26512.064
28109.941
29615.764
31023.863
32331.455
33538.266
34646.129
35658.531
36580.168
37416.539
38173.543
38857.113
39472.926
40026.109
40521.035
40961.098
41348.57
41684.48
41968.504
42198.902
42372.477
42484.566
42529.074
42498.527
42384.203
42176.305
41864.176
41436.633
40882.34
40190.281
39350.305
38353.738
37194.082
35867.715
34374.582
