reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,-.029371826,,-.340278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-.41096917,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.51800323,.37299147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.044164851,-.081675731,.0097729918,.11964034
.89828861,,.8245641,.81994343,1.1069193,.34641761,.59880179,-.12781264,.34900978,-.52063251,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.3278341,,,,,,,,,-.93044251,,-.92984813,,-.43835986,,,,,,,,,,,,,,,,,,,,,
,-.13351688,-.26671496,-.24585915,-.61200809,-.46816871,-.28323838,,-.423417,,-.63033444,,-.73025757,,,,,,,,,,,,,,,,,,,,,,,
.58685237,.40389711,.10246363,-.11860125,-.71282345,-.32031104,-.50445747,-.66143388,-.43497047,-1.2598175,-.60520869,-.40975085,-.14768451,-.14527407,-.26009715,-1.181509,.12026576,-.041858915,-.62609822,-.055169981,-.29204428,,-1.2284125,-1.3532741,,,,,,-.48791805,,-.35928825,,,,
.12180622,,.67093229,,.41375959,,.71030128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.20502439,-.17499463,,,,-.50344044,-.42287177,.062874585,-.16310401,-.61022264,-.54137826,,.11016753,,-.46076775,,-.44456089,,,,,,,,,,,,,,,,,,,
,,,,,-.2215049,.10434535,.0053343181,.27334532,,.014607112,,-.036004454,,.057442475,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-.053182416,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.41247591,.2632089,.63946748,.75152874
,.14595594,,.1884449,,.39129084,,,,.449016,.38032329,.26141891,.34718126,.31790656,.17411546,.076412641,.057905212,.34056297,-.016661711,-.16674377,,.17232619,,-.22360207,,-.27772507,,,,,,,,,,
,,,,,,,,,,,,,,.27864489,.058662556,.11927985,.29179585,1.7300634,.29690909,.33035982,.089193814,-.74667364,.21282993,-.30540273,-.18817145,-.070076264,-.085815653,-.32497644,.15216249,.06948819,,.15300047,.32806411,.23527865,.66548449
-.065998614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.3458607,,,,.081361577,.13137804,-.29804099,,.26550138,-.036684293,-.090158947,.371782,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,.44154909,.63351899,.32586125,-.41926211,.49823663,.38216147,.72719651,.83913958,.71713787,.858055,.76731575,.59428394,.85374111,1.0650722,1.0309778,.99722129,1.4953765,.69429266,1.0001867,1.1224235,,1.0974928,,1.1121483,,1.9869223,,,,,
,,,,,,,,,-1.1048352,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.1313775,-.41403958,-.11408719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.36428279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.54116434,-.52797902,.67491311,-.53524756,.87553889,-.96536165,-.2540608,.48263887,.42190996,.10137928,,,,1.1690936,,.61028492,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-1.4145148,,-1.6437013,-1.2287979,,-1.5268078,-1.2045209,-1.2501283,,,
-1.013967,-.62162268,-.97779065,-.42384019,-1.1223774,-.79110438,-1.2840464,-.7250694,-.69347036,-.95939231,-1.5400865,-1.0234354,-1.0375711,-.85171664,-.98708838,-.90597117,-.84751421,-1.0240152,-1.1434243,-.91785067,-1.8342036,,-1.406925,,-1.4918053,,,,,,,,,,,
,,,,,,-.33988577,-.37126514,-.25724372,-.11700546,,,,,,,,,,,,,,,,,,,,,,,,,,
.73225492,.64472795,,.54467654,.52328193,.53169757,.46724686,.56952631,.7966221,,.53011018,,.59094834,,.47671181,,,,,,,,,,,,,,,,,,,,,
.011418567,-.32864556,-.53219426,-.74883932,-.28436363,-.54199719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,.044921998,-.51706177,-.28777578,-.051519088,-.51699775,-.41455847,,-.46748462,,-.20578261,,.13051873,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-.37886506,-.29238743,-.75321555,-.46570221,-.45697239,-.64131033,-.67405289,-.6452623,-.58110553,-.90629721
,,,,,,,,,,,,,,,,,,,,-.30975586,-.19087003,-.17157835,,-.39430067,-.19751781,.2231188,.12067094,-.043272179,.26501897,.38776997,.26961091,.29481325,.33953211,.37586898,.48319134
,,,,,,,,,,,,,,,,,,,,,,,,-.61107546,,,,,,,-1.0067489,-1.0096754,,,
-.21489005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.24494112,,,-.30838504,-.052479718,-.059260346,-.23448355,-.099240191,,.13579985,.50988847,.5199061,.079462707,,-1.1625516,,-.62785774,,-1.0306774,,-.62467062,,,,,,,,,,,,,,,
,,,,-.24023724,-.054731928,.025591124,.2392744,-.15071206,-.0098996302,-.65812588,.036240928,-.59551674,-.13730142,-.10620617,,-.13803858,,-.043481674,,.21092544,,,,,,,,,,,,,,,
,,,,-.61548084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.26133665,-.63700855,-.60825336,-.59315503
,,,,,,,,,,,,,,,,,,,,,,,,.22681855,.43573293,.3418999,.40924668,.44777498,.41700688,.21829963,.34783858,.047638703,.29766247,.50261271,.53584319
.26824808,.15709864,.29559854,.25915256,-.07960441,.048712991,.027938243,.31953466,.41413051,.29021081,.60344851,.18605369,.35761902,.30715948,.30440646,-.083614908,,,,-.32140937,,-.15855566,,,,,,,,,,,,,,
1.1633646,.95468646,.68806469,.60103983,.68054724,.61485952,.64077038,.0015113127,-.44760379,-.16882294,.87464988,.12821013,.44129565,.18044885,-1.6554102,-1.1532221,-.59515029,,1.1246605,,-.58285868,,-.75861311,,,,,,,,,,,,,
